jurisdiction,index,dimension_code,dimension,weight,raw_score_0_to_4,standardized_score,weighted_score,evidence_text,source_file_or_url,notes
US,金融基础设施成熟度指数,F1,快速支付系统,0.14,3,75.0,10.500000000000002,FedNow 提供 24x7 即时支付，但美国零售支付仍存在多轨并行和接入分散。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F2,RTGS 与支付系统稳健性,0.12,4,100.0,12.0,Fedwire Funds Service 是成熟大额实时全额结算系统。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F3,ISO 20022 与标准化,0.1,4,100.0,10.0,Fedwire ISO 20022 migration 已进入正式实施阶段，FedNow 也采用现代报文标准。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F4,跨境支付互联,0.16,2,50.0,8.0,美国缺乏类似欧盟/新加坡的全国性即时跨境互联安排，主要依赖银行和卡网络。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F5,PvP 与外汇结算风险控制,0.1,3,75.0,7.5,美元是 CLS 等 PvP 外汇结算体系核心币种，但稳定币/即时支付直接 PvP 衔接有限。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F6,CBDC/代币化结算试点,0.14,2,50.0,7.000000000000001,美联储有 CBDC/批发代币化研究与实验，但未形成正式试点或发行计划。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F7,监管沙盒与创新机制,0.1,2,50.0,5.0,美国存在监管创新办公室和州级沙盒，但缺少统一全国金融监管沙盒。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,金融基础设施成熟度指数,F8,数字身份、KYC 与数据接口,0.14,2,50.0,7.000000000000001,美国 KYC/AML 基础强，但没有统一国家数字身份和全国开放银行 API 体系。,Federal Reserve FedNow/Fedwire materials; https://www.frbservices.org/financial-services/fednow; https://www.frbservices.org/resources/financial-services/wires/iso-20022-implementation-center,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C1,采纳 FSB 稳定币建议,0.16,3,75.0,12.0,GENIUS Act 多项要求与 FSB 关于治理、储备、赎回和监管监督的建议一致，但未以 FSB 为法条主线。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C2,体现 CPMI-IOSCO/PFMI 原则,0.14,3,75.0,10.500000000000002,法案把合规支付稳定币作为支付/结算资产处理，但对系统性 FMI/PFMI 的直接适用有限。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C3,境外发行人监管衔接,0.16,4,100.0,16.0,GENIUS Act 详细规定 foreign payment stablecoin issuer、可比监管、OCC 注册和 reciprocity。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C4,监管信息共享,0.14,3,75.0,10.500000000000002,法案要求监管报告、联邦/州监管协作，并对外国制度可比性作公开决定。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C5,跨境 AML/CFT 与执法协作,0.14,4,100.0,14.000000000000002,法案明确 BSA、制裁、lawful order 和非法金融风险。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C6,互操作与跨境支付衔接,0.12,3,75.0,9.0,法案要求考虑海外美元稳定币国际交易和 interoperability，但具体支付互联安排待后续协议。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,跨境协同指数,C7,危机管理与跨境处置,0.14,3,75.0,10.500000000000002,法案有接管、撤销和外国注册撤销机制，但跨境危机处置仍依赖后续 reciprocal arrangement。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R1,法律地位与适用范围,0.08,4,100.0,8.0,MiCA 区分 asset-referenced tokens 与 e-money tokens，并明确发行与监管适用范围。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R2,发行许可与市场准入,0.12,4,100.0,12.0,EBA 页面明确 ART/EMT 发行人须持有相关 authorisation，MiCA 配套 RTS/ITS 细化授权程序。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R3,储备资产质量,0.12,4,100.0,12.0,MiCA/EBA 技术标准规定 reserve of assets、高流动性金融工具、流动性要求和压力测试。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R4,赎回权与面值保护,0.12,4,100.0,12.0,EBA 指引包含 redemption plans，MiCA 规定 EMT/ART 持有人赎回权。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R5,信息披露与透明度,0.1,4,100.0,10.0,MiCA 以 white paper、报告模板和监管披露为核心机制，信息披露体系完整。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R6,审计、证明与第三方验证,0.08,3,75.0,6.0,MiCA/EBA 涉及储备、报告和监管审查，但公开页面对独立审计频率的直接表述少于美国/新加坡。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R7,治理与运营风险管理,0.1,4,100.0,10.0,EBA 指引包括 internal governance、management body suitability、conflicts of interest、liquidity stress testing。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R8,AML/CFT 与制裁合规,0.1,3,75.0,7.5,MiCA 与欧盟 AMLD/TFR II 等框架衔接，但稳定币页面本身不是完整 AML 法源。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R9,恢复、处置与退出机制,0.08,4,100.0,8.0,EBA 已发布 recovery plans、redemption plans 和 liquidity stress testing 指引。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,监管强度指数,R10,境外发行人准入,0.1,3,75.0,7.5,MiCA 对 EU 内发行和非 EU 币种使用有规则，但对境外发行人的等效互认机制不如美国 GENIUS Act 具体。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F1,快速支付系统,0.14,4,100.0,14.000000000000002,欧元区拥有 TIPS 和 SEPA Instant 等即时支付基础设施。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F2,RTGS 与支付系统稳健性,0.12,4,100.0,12.0,ECB T2/TARGET services 提供成熟 RTGS 和央行货币结算。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F3,ISO 20022 与标准化,0.1,4,100.0,10.0,TARGET services 和欧盟支付体系高度采用 ISO 20022。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F4,跨境支付互联,0.16,4,100.0,16.0,SEPA、TIPS 跨境可达性和欧盟即时支付规则形成强跨境互联。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F5,PvP 与外汇结算风险控制,0.1,3,75.0,7.5,欧元是 CLS 主要币种，欧盟外汇结算风险控制成熟。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F6,CBDC/代币化结算试点,0.14,3,75.0,10.500000000000002,数字欧元处于准备阶段，欧央行也推进批发 DLT/央行货币结算实验。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F7,监管沙盒与创新机制,0.1,4,100.0,10.0,欧盟有 DLT Pilot Regime 和多国监管沙盒/创新机制。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,金融基础设施成熟度指数,F8,数字身份、KYC 与数据接口,0.14,4,100.0,14.000000000000002,eIDAS 2.0、欧洲数字身份钱包、PSD2/open banking 支撑数字身份与数据接口。,ECB TARGET Services/TIPS and EU instant payments/digital finance materials; https://www.ecb.europa.eu/paym/target/tips/html/index.en.html; https://www.ecb.europa.eu/paym/target/t2/html/index.en.html,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C1,采纳 FSB 稳定币建议,0.16,4,100.0,16.0,MiCA 与 FSB 稳定币建议高度一致，覆盖授权、储备、赎回、治理和监督。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C2,体现 CPMI-IOSCO/PFMI 原则,0.14,4,100.0,14.000000000000002,MiCA 对 significant ART/EMT、supervisory colleges、DORA 和流动性要求体现 FMI 风险治理。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C3,境外发行人监管衔接,0.16,3,75.0,12.0,EU 对境外/非欧元稳定币使用有约束和报告，但等效准入不如美国条款细化。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C4,监管信息共享,0.14,4,100.0,14.000000000000002,EBA/ESMA/NCA 协作和 supervisory colleges 形成强信息共享。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C5,跨境 AML/CFT 与执法协作,0.14,4,100.0,14.000000000000002,欧盟 AMLD/TFR II 与 MiCA 组合提供强 AML/CFT 和跨境执法衔接。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C6,互操作与跨境支付衔接,0.12,3,75.0,9.0,SEPA/TIPS 和数字欧元探索支持互操作，但稳定币跨境支付互认机制仍有限。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
EU,跨境协同指数,C7,危机管理与跨境处置,0.14,4,100.0,14.000000000000002,EBA recovery/redemption plans 和 supervisory colleges 支撑危机管理。,data/regulatory_texts/EU_mica_eba.txt; https://www.eba.europa.eu/regulation-and-policy/asset-referenced-and-e-money-tokens-mica; data/regulatory_texts/FSB_recommendations.txt; data/regulatory_texts/CPMI_IOSCO_pfmi_stablecoin.txt; https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/; https://www.bis.org/press/p220713.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R1,法律地位与适用范围,0.08,4,100.0,8.0,香港《稳定币条例》及 HKMA 指引建立 licensed stablecoin issuer 监管框架。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R2,发行许可与市场准入,0.12,4,100.0,12.0,HKMA 明确稳定币发行人须申请牌照，并已设立 licensed stablecoin issuers register。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R3,储备资产质量,0.12,4,100.0,12.0,HKMA 监管制度以储备资产、用户保护和风险管理为核心，牌照制度要求维持稳健储备。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R4,赎回权与面值保护,0.12,4,100.0,12.0,HKMA 稳定币制度强调用户保护和赎回安排，监管指引覆盖持有人权益。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R5,信息披露与透明度,0.1,3,75.0,7.5,HKMA 要求申请、牌照和公众沟通合规，但网页级公开材料对高频储备披露细节不完全展开。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R6,审计、证明与第三方验证,0.08,3,75.0,6.0,HKMA 指引涉及监督和申请材料审查，审计/证明要求存在但当前抓取文本的细节有限。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R7,治理与运营风险管理,0.1,4,100.0,10.0,HKMA 稳定币制度强调 robust user protection、effective risk management 和有序经营。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R8,AML/CFT 与制裁合规,0.1,4,100.0,10.0,HKMA 同步发布 licensed stablecoin issuers AML/CFT guideline。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R9,恢复、处置与退出机制,0.08,3,75.0,6.0,香港制度有过渡安排和牌照监管，但当前公开抓取文本对跨境处置/清盘细节有限。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,监管强度指数,R10,境外发行人准入,0.1,3,75.0,7.5,香港制度覆盖面向香港公众的稳定币发行及申请，但境外发行人等效互认细节不如美国完整。,data/regulatory_texts/HK_stablecoin_ordinance.txt; data/regulatory_texts/HK_first_stablecoin_licences.txt; https://www.hkma.gov.hk/eng/news-and-media/press-releases/2025/07/20250729-4/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
HK,金融基础设施成熟度指数,F1,快速支付系统,0.14,4,100.0,14.000000000000002,香港 FPS 支持 24x7 即时零售支付。,HKMA FPS/CHATS/Project Ensemble/e-HKD and Payment Connect materials; https://www.hkma.gov.hk/eng/key-functions/international-financial-centre/financial-market-infrastructure/,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
